project-id,location-id,date,time-intervals,direction-id,car,microbus,bus,truck,special vehicle,motorcycle,bicycle,total-vehicles,location-name,longitude,latitude,image-url
Tamarashvili,Loc1,2/27/24,09:45 - 10:00,1.5,204,7,1,2,0,3,0,217,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:45 - 10:00,1.6,125,4,6,0,0,1,0,136,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:00 - 18:15,1.1,61,1,0,1,0,1,0,64,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:00 - 18:15,1.2,149,3,4,1,0,13,0,170,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:00 - 18:15,1.3,355,9,7,4,0,38,1,414,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:00 - 18:15,1.4,72,2,2,0,0,4,0,80,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:00 - 18:15,1.5,124,2,3,0,0,8,0,137,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:00 - 18:15,1.6,103,1,6,1,0,4,1,116,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:15 - 18:30,1.1,59,2,0,0,0,0,0,61,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:15 - 18:30,1.2,253,4,7,0,0,14,0,278,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:15 - 18:30,1.3,365,12,8,3,0,14,0,402,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:15 - 18:30,1.4,120,3,0,0,0,2,0,125,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:15 - 18:30,1.5,273,4,2,0,0,12,0,291,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:15 - 18:30,1.6,89,0,5,0,0,8,0,102,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:30 - 18:45,1.1,48,1,1,1,0,2,0,53,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:30 - 18:45,1.2,246,3,6,0,0,14,0,269,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:30 - 18:45,1.3,450,12,6,2,0,18,1,489,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:30 - 18:45,1.4,117,2,1,0,0,6,0,126,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:30 - 18:45,1.5,257,5,4,0,0,7,0,273,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:30 - 18:45,1.6,120,2,6,0,0,7,0,135,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:45 - 19:00,1.1,54,1,1,0,0,4,0,60,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:45 - 19:00,1.2,259,4,6,2,0,17,0,288,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:45 - 19:00,1.3,451,7,4,6,0,33,2,503,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:45 - 19:00,1.4,112,1,3,0,0,3,0,119,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:45 - 19:00,1.5,220,2,2,2,0,9,1,236,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,18:45 - 19:00,1.6,104,1,5,0,0,8,0,118,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc2,2/27/24,09:00 - 09:15,2.1,23,1,0,0,0,1,0,25,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=sharing
Tamarashvili,Loc2,2/27/24,09:15 - 09:30,2.1,25,1,0,1,0,0,0,27,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=sharing
Tamarashvili,Loc2,2/27/24,09:30 - 09:45,2.1,31,0,0,0,0,1,0,32,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=sharing
Tamarashvili,Loc2,2/27/24,09:45 - 10:00,2.1,22,0,0,0,0,0,0,22,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=sharing
Tamarashvili,Loc2,2/27/24,18:00 - 18:15,2.1,16,0,0,0,0,1,0,17,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=sharing
Tamarashvili,Loc2,2/27/24,18:15 - 18:30,2.1,17,0,0,0,0,1,0,18,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=sharing
Tamarashvili,Loc2,2/27/24,18:30 - 18:45,2.1,19,0,0,0,0,2,0,21,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=sharing
Tamarashvili,Loc2,2/27/24,18:45 - 19:00,2.1,24,0,0,0,0,1,0,25,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:00 - 09:15,3.1,33,0,0,0,0,0,0,33,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:00 - 09:15,3.2,354,7,12,2,0,3,0,378,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:00 - 09:15,3.3,22,1,0,1,0,0,0,24,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:00 - 09:15,3.4,35,0,0,0,0,0,0,35,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:00 - 09:15,3.5,48,0,0,0,0,0,0,48,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:00 - 09:15,3.6,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:00 - 09:15,3.7,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:00 - 09:15,3.8,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
